Keyword,Citations_per_Paper
high-redshift galaxies,8.87
reionization,6.92
supermassive black holes,4.22
cosmology,4.21
supernovae,4.13
galaxy evolution,3.87
black holes,3.86
surveys,3.61
galaxies,3.33
dark matter,3.0
methods numerical,2.91
galaxies active,2.87
gravitational waves,2.77
exoplanets,2.75
spectroscopy,2.69
star formation,2.64
gamma-ray bursts,2.57
protoplanetary disks,2.52
neutron stars,2.41
high energy astrophysics,2.39
accretion,2.28
astrochemistry,2.17
interstellar medium,2.13
methods data analysis,2.11
active galactic nuclei,2.0
